	shape	carat	color	clarity	cut	depth	table	lab	price	url	img_url	cert_url	vid_url	date
0	round	1.50	H	SI1	Signature Ideal	62.8%	58%	GIA	$9023	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2099161	https://yadav-gemstone-graphics.s3.amazonaws.com/2099161_1.jpg	https://yadav-certs.s3.amazonaws.com/6272979371.pdf	http://www.yadavjewelry.com/diamonds/videos/2099161	03/20/18 23:44:58
1	round	1.51	H	SI1	Signature Ideal	62.4%	58%	GIA	$9066	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd1974755	https://yadav-gemstone-graphics.s3.amazonaws.com/1974755_1.jpg	https://yadav-certs.s3.amazonaws.com/7273838408.jpg	http://www.yadavjewelry.com/diamonds/videos/1974755	03/20/18 23:44:59
2	round	1.50	H	SI1	Signature Ideal	61.0%	60%	GIA	$9076	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2047938	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6272345472.pdf		03/20/18 23:45:00
3	round	1.50	H	SI1	Signature Ideal	60.0%	62%	GIA	$9103	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2168942	https://yadav-gemstone-graphics.s3.amazonaws.com/2168942_1.jpg	https://yadav-certs.s3.amazonaws.com/1192135659.pdf	http://www.yadavjewelry.com/diamonds/videos/2168942	03/20/18 23:45:01
4	round	1.50	H	SI1	Signature Ideal	62.7%	59%	GIA	$9106	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd1988157	https://yadav-gemstone-graphics.s3.amazonaws.com/1988157_1.jpg	https://yadav-certs.s3.amazonaws.com/2277552389.pdf		03/20/18 23:45:02
5	round	1.50	H	SI1	Signature Ideal	62.8%	56%	GIA	$9117	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2063396	https://yadav-gemstone-graphics.s3.amazonaws.com/2063396_1.jpg	https://yadav-certs.s3.amazonaws.com/6271733871.pdf	http://www.yadavjewelry.com/diamonds/videos/2063396	03/20/18 23:45:02
6	round	1.50	H	SI1	Signature Ideal	62.3%	60%	GIA	$9117	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2099162	https://yadav-gemstone-graphics.s3.amazonaws.com/2099162_1.jpg	https://yadav-certs.s3.amazonaws.com/1285035761.pdf	http://www.yadavjewelry.com/diamonds/videos/2099162	03/20/18 23:45:03
7	round	1.51	H	SI1	Signature Ideal	61.4%	60%	GIA	$9137	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2047939	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2185882162.pdf		03/20/18 23:45:04
8	round	1.53	H	SI1	Signature Ideal	62.7%	58%	GIA	$9142	https://www.yadavjewelry.com/diamond/round-diamond-1.53-carat-H-SI1-yd2141177	https://yadav-gemstone-graphics.s3.amazonaws.com/2141177_1.jpg	https://yadav-certs.s3.amazonaws.com/2274556315.pdf	https://yadav-videos.s3.amazonaws.com/2274556315.mp4	03/20/18 23:45:05
9	round	1.51	H	SI1	Signature Ideal	61.1%	59%	GIA	$9167	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2096053	https://yadav-gemstone-graphics.s3.amazonaws.com/2096053_1.jpg	https://yadav-certs.s3.amazonaws.com/1288226154.pdf		03/20/18 23:45:05
10	round	1.51	H	SI1	Signature Ideal	62.7%	59%	GIA	$9167	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd1988175	https://yadav-gemstone-graphics.s3.amazonaws.com/1988175_1.jpg	https://yadav-certs.s3.amazonaws.com/6275748555.pdf		03/20/18 23:45:06
11	round	1.56	H	SI1	Signature Ideal	62.6%	57%	GIA	$9189	https://www.yadavjewelry.com/diamond/round-diamond-1.56-carat-H-SI1-yd2111431	https://yadav-gemstone-graphics.s3.amazonaws.com/2111431_1.jpg	https://yadav-certs.s3.amazonaws.com/6285095784.pdf		03/20/18 23:45:07
12	round	1.60	H	SI1	Signature Ideal	62.3%	58%	GIA	$9210	https://www.yadavjewelry.com/diamond/round-diamond-1.60-carat-H-SI1-yd2132198	https://yadav-gemstone-graphics.s3.amazonaws.com/2132198_1.jpg	https://yadav-certs.s3.amazonaws.com/3275971711.jpg	http://www.yadavjewelry.com/diamonds/videos/2132198	03/20/18 23:45:08
13	round	1.50	H	SI1	Signature Ideal	62.0%	58%	GIA	$9226	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2024484	https://yadav-gemstone-graphics.s3.amazonaws.com/2024484_1.jpg	https://yadav-certs.s3.amazonaws.com/2195055928.jpg	http://www.yadavjewelry.com/diamonds/videos/2024484	03/20/18 23:45:09
14	round	1.52	H	SI1	Signature Ideal	62.6%	58%	GIA	$9228	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd1965680	https://yadav-gemstone-graphics.s3.amazonaws.com/1965680_1.jpg	https://yadav-certs.s3.amazonaws.com/1278711035.pdf		03/20/18 23:45:09
15	round	1.51	H	SI1	Signature Ideal	62.5%	57%	GIA	$9234	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2123000	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/1186746283.pdf		03/20/18 23:45:10
