	shape	carat	color	clarity	cut	depth	table	lab	lab_id	price	url	img_url	cert_url	vid_url	date
0	round	1.50	H	SI1	Signature Ideal	62.7%	58%	GIA	2277554203	$9119	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2172443	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2277554203.pdf		04/03/18 10:02:20
1	round	1.50	H	SI1	Signature Ideal	61.0%	60%	GIA	6272345472	$9119	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2047938	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6272345472.pdf		04/03/18 10:02:22
2	round	1.50	H	SI1	Signature Ideal	62.8%	58%	GIA	6272979371	$9159	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2253071	https://yadav-gemstone-graphics.s3.amazonaws.com/2253071_1.jpg	https://yadav-certs.s3.amazonaws.com/6272979371.pdf	http://www.yadavjewelry.com/diamonds/videos/2253071	04/03/18 10:02:24
3	round	1.51	H	SI1	Signature Ideal	61.4%	60%	GIA	2185882162	$9179	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2047939	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2185882162.pdf		04/03/18 10:02:25
4	round	1.50	H	SI1	Signature Ideal	60.0%	62%	GIA	1192135659	$9189	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2168942	https://yadav-gemstone-graphics.s3.amazonaws.com/2168942_1.jpg	https://yadav-certs.s3.amazonaws.com/1192135659.pdf	http://www.yadavjewelry.com/diamonds/videos/2168942	04/03/18 10:02:27
5	round	1.51	H	SI1	Signature Ideal	62.4%	58%	GIA	7273838408	$9191	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd1974755	https://yadav-gemstone-graphics.s3.amazonaws.com/1974755_1.jpg	https://yadav-certs.s3.amazonaws.com/7273838408.jpg	http://www.yadavjewelry.com/diamonds/videos/1974755	04/03/18 10:02:30
6	round	1.50	H	SI1	Signature Ideal	62.8%	56%	GIA	6271733871	$9254	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2194632	https://yadav-gemstone-graphics.s3.amazonaws.com/2194632_1.jpg	https://yadav-certs.s3.amazonaws.com/6271733871.pdf	http://www.yadavjewelry.com/diamonds/videos/2194632	04/03/18 10:02:30
7	round	1.50	H	SI1	Signature Ideal	62.3%	60%	GIA	1285035761	$9254	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2253072	https://yadav-gemstone-graphics.s3.amazonaws.com/2253072_1.jpg	https://yadav-certs.s3.amazonaws.com/1285035761.pdf	http://www.yadavjewelry.com/diamonds/videos/2253072	04/03/18 10:02:31
8	round	1.50	H	SI1	Signature Ideal	62.0%	58%	GIA	2195055928	$9283	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2024484	https://yadav-gemstone-graphics.s3.amazonaws.com/2024484_1.jpg	https://yadav-certs.s3.amazonaws.com/2195055928.jpg	http://www.yadavjewelry.com/diamonds/videos/2024484	04/03/18 10:02:32
9	round	1.51	H	SI1	Signature Ideal	61.3%	59%	GIA	6272533828	$9321	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2159217	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/6272533828.pdf		04/03/18 10:02:33
10	round	1.51	H	SI1	Signature Ideal	62.7%	56%	GIA	5182918205	$9321	https://www.yadavjewelry.com/diamond/round-diamond-1.51-carat-H-SI1-yd2117294	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5182918205.pdf		04/03/18 10:02:33
11	round	1.50	H	SI1	Signature Ideal	61.7%	58%	GIA	1287027598	$9364	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2051069	https://yadav-gemstone-graphics.s3.amazonaws.com/2051069_1.jpg	https://yadav-certs.s3.amazonaws.com/1287027598.jpg	http://www.yadavjewelry.com/diamonds/videos/2051069	04/03/18 10:02:35
12	round	1.52	H	SI1	Signature Ideal	61.1%	57%	GIA	6285335911	$9398	https://www.yadavjewelry.com/diamond/round-diamond-1.52-carat-H-SI1-yd2135749	https://yadav-gemstone-graphics.s3.amazonaws.com/2135749_1.jpg	https://yadav-certs.s3.amazonaws.com/6285335911.pdf	https://yadav-videos.s3.amazonaws.com/6285335911.mp4	04/03/18 10:02:37
13	round	1.50	H	SI1	Signature Ideal	57.6%	61%	GIA	6271345797	$9399	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2266878	https://yadav-gemstone-graphics.s3.amazonaws.com/2266878_1.jpg	https://yadav-certs.s3.amazonaws.com/6271345797.pdf		04/03/18 10:02:38
14	round	1.53	H	SI1	Signature Ideal	62.6%	57%	GIA	2276907866	$9408	https://www.yadavjewelry.com/diamond/round-diamond-1.53-carat-H-SI1-yd2088855	https://yadav-gemstone-graphics.s3.amazonaws.com/2088855_1.jpg	https://yadav-certs.s3.amazonaws.com/2276907866.pdf	http://www.yadavjewelry.com/diamonds/videos/2088855	04/03/18 10:02:39
15	round	1.50	H	SI1	Signature Ideal	62.0%	58%	GIA	2195006104	$9409	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd2060931	https://yadav-gemstone-graphics.s3.amazonaws.com/2060931_1.jpg	https://yadav-certs.s3.amazonaws.com/2195006104.jpg	http://www.yadavjewelry.com/diamonds/videos/2060931	04/03/18 10:02:40
16	round	1.55	H	SI1	Signature Ideal	62.0%	59%	GIA	2277182898	$9423	https://www.yadavjewelry.com/diamond/round-diamond-1.55-carat-H-SI1-yd2013762	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/2277182898.pdf		04/03/18 10:02:40
17	round	1.50	H	SI1	Signature Ideal	61.4%	60%	GIA	5246864492	$9428	https://www.yadavjewelry.com/diamond/round-diamond-1.50-carat-H-SI1-yd1732963	https://yadav-product-images.s3.amazonaws.com/default/small/rb-cut.jpg	https://yadav-certs.s3.amazonaws.com/5246864492.pdf		04/03/18 10:02:41
